station_id,fecha_hora_dia,temp_c,temp_max_c,temp_min_c,hum_pct,hum_max_pct,hum_min_pct,lluvia_mm,tasa_lluvia_mm_h,radiacion_w_m2,radiacion_max_w_m2,viento_avg_kmh,viento_max_kmh,dir_viento,punto_rocio_c,barometro_inhg,et_mm,ts,fecha_hora,n_lecturas
184965,2026-07-31,,,,,,,41.8,5.78,163.75,1058.0,0.7,14.5,9.74,,,2.38,1785541500,2026-07-31 23:45:00,96
184965,2026-08-01,,,,,,,0.0,0.0,293.41,1030.0,0.57,12.9,6.25,,,4.45,1785627900,2026-08-01 23:45:00,96
184965,2026-08-02,30.05,34.4,25.0,80.75,,,0.0,0.0,314.38,874.0,0.37,12.9,5.1,26.35,29.92,4.24,1785708000,2026-08-02 22:00:00,82
185450,2026-05-05,,,,,,,0.0,0.0,147.87,513.0,7.61,22.5,4.93,,,0.76,1778024700,2026-05-05 23:45:00,15
185450,2026-05-06,,,,,,,0.0,0.0,255.65,1039.0,9.49,33.8,4.3,,,5.85,1778111100,2026-05-06 23:45:00,96
185450,2026-05-07,,,,,,,0.0,0.0,265.35,956.0,8.3,29.0,4.62,,,5.79,1778197500,2026-05-07 23:45:00,96
185450,2026-05-08,,,,,,,0.0,0.0,284.36,981.0,8.44,37.0,4.16,,,6.05,1778283900,2026-05-08 23:45:00,96
185450,2026-05-09,,,,,,,0.0,0.0,307.74,896.0,9.15,32.2,3.72,,,6.5,1778370300,2026-05-09 23:45:00,96
185450,2026-05-10,,,,,,,0.0,0.0,300.1,990.0,9.97,30.6,4.35,,,6.46,1778456700,2026-05-10 23:45:00,96
185450,2026-05-11,,,,,,,0.0,0.0,296.71,1081.0,10.44,33.8,4.0,,,6.65,1778543100,2026-05-11 23:45:00,96
185450,2026-05-12,,,,,,,0.0,0.0,242.93,1111.0,7.25,27.4,5.01,,,5.39,1778629500,2026-05-12 23:45:00,96
185450,2026-05-13,,,,,,,0.0,0.0,249.44,1130.0,5.34,24.1,6.18,,,4.97,1778715900,2026-05-13 23:45:00,96
185450,2026-05-14,,,,,,,0.0,0.0,234.12,1039.0,6.61,30.6,5.61,,,5.21,1778802300,2026-05-14 23:45:00,96
185450,2026-05-15,,,,,,,0.0,0.0,291.74,972.0,9.69,40.2,4.44,,,6.49,1778888700,2026-05-15 23:45:00,96
185450,2026-05-16,,,,,,,7.6,1.48,218.79,1062.0,8.96,57.9,4.56,,,4.82,1778975100,2026-05-16 23:45:00,96
185450,2026-05-17,,,,,,,0.0,0.0,245.7,1025.0,8.7,35.4,4.77,,,5.26,1779061500,2026-05-17 23:45:00,96
185450,2026-05-18,,,,,,,0.0,0.0,299.02,1085.0,7.16,30.6,3.99,,,6.03,1779147900,2026-05-18 23:45:00,96
185450,2026-05-19,,,,,,,0.0,0.0,229.66,958.0,7.33,29.0,4.46,,,5.15,1779234300,2026-05-19 23:45:00,96
185450,2026-05-20,,,,,,,0.0,0.0,183.28,1178.0,6.57,25.7,4.83,,,4.24,1779320700,2026-05-20 23:45:00,96
185450,2026-05-21,,,,,,,1.0,0.24,278.91,1107.0,8.03,33.8,5.12,,,5.88,1779407100,2026-05-21 23:45:00,96
185450,2026-05-22,,,,,,,1.6,0.41,210.61,1132.0,3.86,27.4,5.18,,,3.89,1779493500,2026-05-22 23:45:00,96
185450,2026-05-23,,,,,,,14.4,3.68,149.07,1085.0,2.58,25.7,10.19,,,2.32,1779579900,2026-05-23 23:45:00,96
185450,2026-05-24,,,,,,,0.0,0.0,172.4,939.0,2.22,16.1,9.69,,,2.63,1779666300,2026-05-24 23:45:00,96
185450,2026-05-25,,,,,,,39.8,3.69,162.25,1049.0,4.42,25.7,4.62,,,2.69,1779752700,2026-05-25 23:45:00,95
185450,2026-05-26,,,,,,,0.0,0.0,280.43,1171.0,8.73,33.8,4.42,,,5.5,1779839100,2026-05-26 23:45:00,96
185450,2026-05-27,,,,,,,0.0,0.0,278.09,1032.0,7.83,35.4,4.53,,,5.31,1779925500,2026-05-27 23:45:00,95
185450,2026-05-28,,,,,,,0.0,0.0,234.69,1129.0,7.11,32.2,4.51,,,4.87,1780011900,2026-05-28 23:45:00,96
185450,2026-05-29,,,,,,,0.0,0.0,263.18,933.0,7.46,29.0,4.54,,,5.18,1780098300,2026-05-29 23:45:00,96
185450,2026-05-30,,,,,,,0.0,0.0,301.81,1035.0,7.98,53.1,4.73,,,5.74,1780184700,2026-05-30 23:45:00,96
185450,2026-05-31,,,,,,,0.0,0.0,150.15,854.0,2.7,24.1,5.41,,,2.3,1780271100,2026-05-31 23:45:00,96
185450,2026-06-01,,,,,,,0.0,0.0,257.78,1092.0,5.06,35.4,4.78,,,4.36,1780357500,2026-06-01 23:45:00,96
185450,2026-06-02,,,,,,,0.0,0.0,190.2,981.0,5.79,32.2,5.46,,,3.38,1780443900,2026-06-02 23:45:00,96
185450,2026-06-03,,,,,,,0.0,0.0,230.15,1174.0,4.96,29.0,5.61,,,4.05,1780530300,2026-06-03 23:45:00,96
185450,2026-06-04,,,,,,,0.0,0.0,181.13,1079.0,4.14,22.5,5.85,,,2.99,1780616700,2026-06-04 23:45:00,96
